customerID,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,Has_Internet_Service,gender_Female,gender_Male,Contract_Month-to-month,Contract_One year,Contract_Two year,InternetService_DSL,InternetService_Fiber optic,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_outlier,MonthlyCharges_outlier,TotalCharges_outlier
7590-VHVEG,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.11148447068429487,0.0012469636435280093,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
5575-GNVDE,0,0,0,0.46478873239436624,1,0,1,0,1,0,0,0,0,0.3951679594678056,0.23318220133973774,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0
3668-QPYBK,0,0,0,0.014084507042253521,1,0,1,1,0,0,0,0,1,0.36271708067707187,0.011097976427399283,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
7795-CFOCW,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.24181138711804792,0.2270720794864505,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
9237-HQITU,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.5391033089428342,0.016459920094569723,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
9305-CDSKC,0,0,0,0.09859154929577466,1,1,0,0,1,0,1,1,1,0.8421526447466215,0.09988178784659354,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
1452-KIOVK,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.7317149766039631,0.2406639832009058,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
6713-OKOMC,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.11043766814265824,0.03516437474748986,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
7892-POOKP,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8960629756409048,0.37745589489592846,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
6388-TABGU,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.38679353913471304,0.43244699157551364,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
9763-GRSKD,0,1,1,0.16901408450704225,1,0,1,0,0,0,0,0,1,0.3218917815532456,0.07082753495239093,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
7469-LKBCI,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.0,0.038281783856309884,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
8091-TTVAX,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,0,0.8494802625380774,0.7060308149655589,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
0280-XJGEX,0,0,0,0.676056338028169,1,1,0,1,1,0,1,1,1,0.8845481476829026,0.6256016599580022,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0
5129-JLPIS,0,0,0,0.33802816901408456,1,0,1,0,1,1,1,1,1,0.9033905934323608,0.3325652037289201,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0
3655-SNQYZ,0,1,1,0.9577464788732395,1,1,1,1,1,1,1,1,0,0.9845177904091952,0.98210856564266,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
8191-XWSZG,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.015178636853730276,0.12507045344585932,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
9959-WOFKT,0,0,1,0.9859154929577465,1,1,1,0,1,0,1,1,0,0.9159522239319998,0.9181393307296732,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0
4190-MFLUW,0,1,1,0.1267605633802817,1,0,0,0,1,1,0,0,0,0.3768489149891656,0.06347044945557567,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
4183-MYFRB,0,0,0,0.28169014084507044,1,0,0,1,1,0,0,1,1,0.7416596007495107,0.2298153995022121,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
8779-QRDMV,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.21407111976467877,0.0024939272870560187,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
1680-VDCWW,0,1,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.006280815249819438,0.02281943467656257,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1066-JKSGK,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.00994462414554742,0.00012469636435280106,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
